section,table_name,column_name,data_type,is_nullable,column_default,constraint_type,foreign_table,foreign_column
=== TABLES ===,null,null,null,null,null,null,null,null
FOREIGN KEY,categories,restaurant_id,null,null,null,FOREIGN KEY,restaurants,id
FOREIGN KEY,products,category_id,null,null,null,FOREIGN KEY,categories,id
FOREIGN KEY,products,restaurant_id,null,null,null,FOREIGN KEY,restaurants,id
FOREIGN KEY,restaurant_settings,restaurant_id,null,null,null,FOREIGN KEY,restaurants,id
FOREIGN KEY,reviews,restaurant_id,null,null,null,FOREIGN KEY,restaurants,id
FOREIGN KEY,users,restaurant_id,null,null,null,FOREIGN KEY,restaurants,id
INDEX,categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (id),null,null,INDEX,null,null
INDEX,categories,idx_categories_active,CREATE INDEX idx_categories_active ON public.categories USING btree (is_active),null,null,INDEX,null,null
INDEX,categories,idx_categories_pkey,CREATE UNIQUE INDEX idx_categories_pkey ON public.categories USING btree (id),null,null,INDEX,null,null
INDEX,categories,idx_categories_restaurant_id,CREATE INDEX idx_categories_restaurant_id ON public.categories USING btree (restaurant_id),null,null,INDEX,null,null
INDEX,categories,idx_categories_restaurant_id_active,"CREATE INDEX idx_categories_restaurant_id_active ON public.categories USING btree (restaurant_id, is_active)",null,null,INDEX,null,null
INDEX,categories,idx_categories_restaurant_id_display,"CREATE INDEX idx_categories_restaurant_id_display ON public.categories USING btree (restaurant_id, display_order)",null,null,INDEX,null,null
INDEX,categories,idx_categories_sections,CREATE INDEX idx_categories_sections ON public.categories USING gin (sections),null,null,INDEX,null,null
INDEX,products,idx_products_available,CREATE INDEX idx_products_available ON public.products USING btree (is_available),null,null,INDEX,null,null
INDEX,products,idx_products_category,CREATE INDEX idx_products_category ON public.products USING btree (category_id),null,null,INDEX,null,null
INDEX,products,idx_products_pkey,CREATE UNIQUE INDEX idx_products_pkey ON public.products USING btree (id),null,null,INDEX,null,null
INDEX,products,idx_products_restaurant_available,"CREATE INDEX idx_products_restaurant_available ON public.products USING btree (restaurant_id, is_available)",null,null,INDEX,null,null
INDEX,products,idx_products_restaurant_category,"CREATE INDEX idx_products_restaurant_category ON public.products USING btree (restaurant_id, category_id)",null,null,INDEX,null,null
INDEX,products,idx_products_restaurant_display,"CREATE INDEX idx_products_restaurant_display ON public.products USING btree (restaurant_id, display_order)",null,null,INDEX,null,null
INDEX,products,idx_products_restaurant_featured,"CREATE INDEX idx_products_restaurant_featured ON public.products USING btree (restaurant_id, is_featured)",null,null,INDEX,null,null
INDEX,products,idx_products_restaurant_id,CREATE INDEX idx_products_restaurant_id ON public.products USING btree (restaurant_id),null,null,INDEX,null,null
INDEX,products,products_pkey,CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id),null,null,INDEX,null,null
INDEX,restaurant_settings,idx_restaurant_settings_pkey,CREATE UNIQUE INDEX idx_restaurant_settings_pkey ON public.restaurant_settings USING btree (id),null,null,INDEX,null,null
INDEX,restaurant_settings,idx_restaurant_settings_restaurant_id,CREATE INDEX idx_restaurant_settings_restaurant_id ON public.restaurant_settings USING btree (restaurant_id),null,null,INDEX,null,null
INDEX,restaurant_settings,restaurant_settings_pkey,CREATE UNIQUE INDEX restaurant_settings_pkey ON public.restaurant_settings USING btree (id),null,null,INDEX,null,null
